"id","timestamp","value","day_num","username_id","ema_order","lof_value"
103,"1580711793277","79",1,"HASD0006",0,"-1"
104,"1580711794279","80",1,"HASD0006",0,"-1"
105,"1580711795282","80",1,"HASD0006",0,"-1"
106,"1580711796283","81",1,"HASD0006",0,"-1"
107,"1580711797284","81",1,"HASD0006",0,"-1"
108,"1580711798286","81",1,"HASD0006",0,"-1"
109,"1580711799287","82",1,"HASD0006",0,"-1"
110,"1580711800289","83",1,"HASD0006",0,"-1"
111,"1580711801290","84",1,"HASD0006",0,"-1"
112,"1580711802293","84",1,"HASD0006",0,"-1"
113,"1580711803293","83",1,"HASD0006",0,"-1"
114,"1580711804295","84",1,"HASD0006",0,"-1"
115,"1580711805295","83",1,"HASD0006",0,"-1"
116,"1580711806296","82",1,"HASD0006",0,"-1"
117,"1580711807298","81",1,"HASD0006",0,"-1"
118,"1580711808299","81",1,"HASD0006",0,"-1"
119,"1580711809310","81",1,"HASD0006",0,"-1"
120,"1580711810303","81",1,"HASD0006",0,"-1"
121,"1580711811303","82",1,"HASD0006",0,"-1"
122,"1580711812304","82",1,"HASD0006",0,"-1"
123,"1580711813306","82",1,"HASD0006",0,"-1"
124,"1580711814308","83",1,"HASD0006",0,"-1"
125,"1580711815309","83",1,"HASD0006",0,"-1"
126,"1580711816312","83",1,"HASD0006",0,"-1"
127,"1580711817313","83",1,"HASD0006",0,"-1"
128,"1580711818314","83",1,"HASD0006",0,"-1"
129,"1580711819316","84",1,"HASD0006",0,"-1"
130,"1580711820318","84",1,"HASD0006",0,"-1"
131,"1580711821319","84",1,"HASD0006",0,"-1"
132,"1580711822321","84",1,"HASD0006",0,"-1"
133,"1580711823322","85",1,"HASD0006",0,"-1"
134,"1580711824323","85",1,"HASD0006",0,"-1"
135,"1580711825325","85",1,"HASD0006",0,"-1"
136,"1580711826325","85",1,"HASD0006",0,"-1"
137,"1580711827327","85",1,"HASD0006",0,"-1"
138,"1580711828329","85",1,"HASD0006",0,"-1"
139,"1580711829330","85",1,"HASD0006",0,"-1"
140,"1580711830332","85",1,"HASD0006",0,"-1"
141,"1580711831333","85",1,"HASD0006",0,"-1"
142,"1580711832334","86",1,"HASD0006",0,"-1"
